rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis;Passes completados_man;Passes completados_vis;Laterais cobrados_man;Laterais cobrados_vis
26;Corinthians;Goiás;2;1;63%;37%;19;17;6;7;10;6;3;4;17;15;12;4;5;2;6;4;11;15;1;0;536;310;12;14;127;90;82;42;;;;;;;;
26;Fortaleza;Ceará;0;2;60%;40%;10;6;0;5;6;1;4;0;17;17;5;1;0;0;3;0;18;17;1;1;402;270;11;10;110;88;49;25;1;0;;;;;;
26;Flamengo;Bahia;4;3;49%;51%;16;17;5;6;5;2;6;9;23;19;7;8;2;1;3;1;17;22;1;3;382;396;11;20;93;97;36;58;1;1;;;;;;
26;Red Bull Bragantino;Athletico-PR;0;1;69%;31%;21;4;6;1;10;2;5;1;24;13;17;4;6;6;0;6;8;17;2;5;499;225;12;13;119;44;104;19;;;;;;;;
26;Vasco;Santos;1;0;35%;65%;4;19;2;5;1;9;1;5;16;27;1;2;0;1;5;1;26;15;2;0;252;452;15;19;95;120;28;59;;;;;;;;
26;Coritiba;Botafogo;1;2;45%;55%;10;18;4;3;6;5;0;10;20;14;4;11;2;2;1;3;14;18;3;1;342;404;23;9;101;105;37;42;;;;;;;;
26;Internacional;Palmeiras;2;0;42%;58%;12;13;4;0;3;10;5;3;23;14;4;8;1;1;0;2;13;23;4;2;329;439;20;14;101;114;31;53;;;;;;;;
26;Sport;Grêmio;1;1;43%;57%;9;13;2;1;5;5;2;7;11;22;3;7;2;2;0;1;21;9;2;3;400;519;16;14;78;138;33;72;0;1;;;;;;
26;Atlético-GO;Fluminense;2;1;39%;61%;11;5;5;2;3;1;3;2;15;20;11;6;0;0;1;3;18;18;3;4;280;452;14;12;85;91;43;32;;;;;;;;
26;São Paulo;Atlético-MG;3;0;48%;52%;17;14;7;6;7;3;3;5;13;11;5;3;3;3;6;4;9;10;2;4;483;536;19;9;82;102;37;45;0;1;;;;;;
25;Vasco;Fluminense;1;1;44%;56%;20;10;4;4;9;6;7;0;14;20;4;2;1;0;3;3;21;14;6;2;404;516;12;12;119;97;38;27;;;;;;;;
25;Corinthians;São Paulo;1;0;38%;62%;14;17;5;6;7;4;2;7;9;12;4;5;0;1;6;4;12;8;0;1;310;499;24;13;105;118;42;42;;;;;;;;
25;Sport;Coritiba;1;0;55%;45%;20;14;6;3;9;6;5;5;14;20;7;6;0;0;3;5;20;14;0;1;448;369;17;21;110;99;53;48;;;;;;;;
25;Flamengo;Santos;4;1;56%;44%;12;6;4;3;8;3;0;0;11;15;6;4;3;2;2;0;12;11;2;1;460;367;14;14;115;66;57;29;;;;;;;;
25;Ceará;Atlético-GO;1;2;40%;60%;8;12;3;6;4;1;1;5;17;14;2;8;3;2;4;2;13;15;0;3;341;503;17;17;83;112;32;45;;;;;;;;
25;Goiás;Grêmio;0;0;40%;60%;12;17;2;5;6;8;4;4;12;12;4;9;0;2;5;2;12;10;4;1;300;448;17;17;84;117;23;83;;;;;;;;
25;Internacional;Botafogo;2;1;49%;51%;12;12;3;2;7;7;2;3;19;24;4;6;0;0;1;1;23;19;4;5;414;444;5;13;118;109;42;27;;;;;;;;
25;Palmeiras;Bahia;3;0;59%;41%;15;18;7;7;3;6;5;5;20;15;8;7;4;1;7;4;11;20;2;3;509;343;12;9;102;80;46;33;;;;;;;;
25;Athletico-PR;Atlético-MG;0;1;43%;57%;16;10;5;3;8;5;3;2;17;22;5;3;4;4;2;5;20;13;2;2;353;484;9;9;93;99;29;37;;;;;;;;
25;Red Bull Bragantino;Fortaleza;2;1;52%;48%;14;13;7;5;6;6;1;2;19;16;2;5;0;2;4;5;17;18;3;2;424;393;12;16;122;97;44;44;;;;;;;;
18;São Paulo;Botafogo;4;0;66%;34%;31;8;14;1;13;6;4;1;7;14;12;0;1;0;1;10;12;8;0;2;644;352;9;10;145;77;83;11;0;1;;;;;;
24;Atlético-GO;Goiás;0;1;68%;32%;12;10;3;2;4;7;5;1;23;21;15;1;4;2;1;3;17;21;3;3;422;203;15;18;123;71;66;30;;;;;;;;
24;Atlético-MG;Internacional;2;2;63%;37%;9;10;2;3;6;4;1;3;18;21;3;4;4;5;1;1;18;14;2;6;584;316;10;14;81;71;30;27;;;;;;;;
24;Grêmio;Vasco;4;0;60%;40%;22;6;10;3;9;2;3;1;8;10;5;3;1;1;3;6;9;8;2;1;600;404;11;20;86;70;38;28;;;;;;;;
24;São Paulo;Sport;1;0;63%;37%;13;4;7;0;4;4;2;0;20;17;11;1;0;3;0;6;17;16;4;4;641;378;10;11;98;80;51;30;;;;;;;;
24;Coritiba;Red Bull Bragantino;0;0;43%;57%;9;23;3;5;3;13;3;5;26;19;3;12;2;0;5;3;17;26;4;3;333;419;15;14;91;129;25;57;;;;;;;;
24;Bahia;Ceará;0;2;52%;48%;9;11;2;5;5;4;2;2;18;13;6;4;1;1;3;2;12;17;2;2;448;416;11;15;115;96;44;49;;;;;;;;
24;Fluminense;Athletico-PR;3;1;69%;31%;27;5;13;1;8;2;6;2;17;18;15;2;2;0;0;10;16;18;4;4;578;254;11;11;120;77;70;19;0;1;;;;;;
24;Botafogo;Flamengo;0;1;34%;66%;13;14;3;3;4;4;6;7;25;17;5;7;0;0;2;3;16;26;1;1;293;572;19;14;83;135;29;94;1;1;;;;;;
24;Santos;Palmeiras;2;2;60%;40%;15;11;5;5;8;3;2;3;17;17;8;7;2;0;3;3;14;16;3;3;388;264;9;11;96;74;50;26;0;1;;;;;;
1;Goiás;São Paulo;0;3;41%;59%;9;15;3;6;4;6;2;3;20;17;2;9;0;1;3;3;16;19;3;0;317;456;12;13;64;68;45;56;;;;;;;;
24;Fortaleza;Corinthians;0;0;45%;55%;13;9;5;4;5;3;3;2;14;15;3;4;2;0;4;5;12;15;1;2;343;413;15;8;113;106;53;39;1;1;;;;;;
23;Fluminense;Red Bull Bragantino;0;0;45%;55%;7;11;1;4;3;3;3;4;21;19;5;5;4;0;4;1;15;21;2;3;362;438;17;24;94;116;40;48;;;;;;;;
6;Grêmio;Goiás;2;1;65%;35%;26;5;10;2;12;2;4;1;16;18;8;1;2;1;1;8;15;17;2;2;671;346;17;17;132;85;75;25;;;;;;;;
23;Vasco;Ceará;1;4;68%;32%;12;11;4;6;7;4;1;1;20;14;9;3;1;3;2;3;15;18;3;2;487;230;9;16;130;71;57;33;;;;;;;;
23;Atlético-GO;Internacional;0;0;42%;58%;9;17;0;6;3;8;6;3;21;24;8;9;5;4;6;0;20;18;1;4;281;397;8;14;81;88;36;51;0;1;;;;;;
23;Bahia;São Paulo;1;3;37%;63%;15;17;6;8;4;4;5;5;16;13;5;9;1;1;5;5;12;15;0;2;347;597;7;9;86;116;52;70;;;;;;;;
23;Palmeiras;Athletico-PR;3;0;58%;42%;22;4;8;1;11;3;3;0;17;21;10;1;4;2;1;5;16;15;2;1;469;356;11;10;118;76;62;17;;;;;;;;
23;Santos;Sport;4;2;59%;41%;11;9;5;3;4;2;2;4;23;19;5;4;3;0;1;1;17;24;3;3;423;291;12;14;102;77;36;26;;;;;;;;
23;Fortaleza;Goiás;1;1;70%;30%;15;6;8;1;6;3;1;2;20;20;2;0;3;0;0;7;17;19;2;0;620;268;9;11;143;82;48;21;;;;;;;;
23;Atlético-MG;Botafogo;2;1;54%;46%;11;4;6;3;5;1;0;0;22;26;10;2;2;4;2;4;25;19;2;4;463;396;11;14;98;66;30;17;;;;;;;;
23;Coritiba;Corinthians;0;1;53%;47%;11;11;3;2;6;5;2;4;26;13;4;2;1;2;1;3;13;25;2;2;463;418;11;12;124;109;53;45;;;;;;;;
16;Ceará;São Paulo;1;1;32%;68%;11;18;6;4;3;8;2;6;14;22;5;5;2;1;3;5;20;13;5;3;305;659;16;9;93;111;42;46;;;;;;;;
22;Sport;Atlético-GO;0;1;63%;37%;11;12;1;4;5;6;5;2;19;17;10;5;1;2;3;1;17;16;1;3;432;260;15;14;115;76;67;40;;;;;;;;
22;Corinthians;Grêmio;0;0;32%;68%;7;15;1;3;3;7;3;5;15;15;4;12;3;1;3;1;12;14;3;1;301;618;20;10;85;129;42;59;2;0;74;91;224;563;;
22;Botafogo;Fortaleza;1;2;58%;42%;19;11;6;6;6;2;7;3;17;20;7;5;3;2;4;5;18;15;1;1;474;357;13;15;130;74;70;17;;;89;79;420;281;;
22;Internacional;Fluminense;1;2;50%;50%;13;7;4;2;7;3;2;2;18;20;4;4;1;0;0;3;20;20;2;4;452;455;15;17;126;102;53;28;;;81;81;365;367;;
22;Ceará;Atlético-MG;2;2;46%;54%;11;18;5;4;6;8;0;6;14;12;2;7;2;1;2;3;11;12;4;1;401;456;10;24;112;119;39;35;0;1;79;82;316;376;;
22;São Paulo;Vasco;1;1;69%;31%;17;6;5;3;8;2;4;1;22;9;7;4;2;2;2;4;7;19;2;4;685;297;11;17;151;76;47;17;;;88;71;601;212;;
22;Goiás;Palmeiras;1;0;60%;40%;8;14;2;3;6;7;0;4;16;20;1;4;1;1;3;1;20;15;2;2;487;333;8;22;110;100;51;33;0;1;;;;;;
22;Athletico-PR;Santos;1;0;60%;40%;13;6;4;4;5;2;4;0;14;24;9;2;2;1;4;3;22;13;0;2;527;343;15;11;88;61;41;23;;;;;;;;
22;Flamengo;Coritiba;3;1;62%;38%;23;6;9;1;10;2;4;3;19;16;4;4;0;1;0;6;16;18;1;3;654;402;19;12;77;67;45;28;;;;;;;;
22;Red Bull Bragantino;Bahia;4;0;52%;48%;12;7;7;1;3;3;2;3;13;17;5;9;0;0;1;3;16;13;2;4;443;383;13;12;89;77;31;30;;;;;;;;
16;Vasco;Fortaleza;0;0;47%;53%;11;18;5;5;4;6;2;7;21;12;4;11;1;1;5;5;11;20;2;0;360;396;8;13;111;100;33;43;;;;;;;;
6;Atlético-MG;Athletico-PR;0;2;64%;36%;21;10;6;6;8;3;7;1;20;8;9;1;1;1;4;6;7;23;1;2;535;304;10;21;125;76;66;28;;;;;;;;
21;Botafogo;Red Bull Bragantino;1;2;61%;39%;12;11;3;5;8;5;1;1;18;17;7;3;2;0;3;2;16;18;0;3;440;275;9;13;124;86;43;38;;;;;;;;
21;Coritiba;Bahia;1;2;53%;47%;16;15;2;5;8;6;6;4;13;10;7;5;1;1;3;1;12;12;3;4;451;401;7;8;104;97;40;38;;;;;;;;
21;Flamengo;Atlético-GO;1;1;66%;34%;19;10;7;5;9;4;3;1;19;15;11;4;1;2;4;6;15;16;2;1;558;296;8;10;143;76;81;39;;;;;;;;
21;Palmeiras;Fluminense;2;0;51%;49%;9;15;5;5;2;8;2;2;12;18;3;5;3;3;5;3;15;8;2;2;448;441;16;19;113;114;42;34;;;;;;;;
21;Corinthians;Atlético-MG;1;2;33%;67%;8;13;1;4;3;7;4;2;13;30;6;6;1;1;2;0;29;11;3;5;266;547;14;12;85;132;34;45;;;;;;;;
21;Fortaleza;São Paulo;2;3;50%;50%;12;8;5;5;7;2;0;1;18;15;2;3;1;2;2;3;15;18;2;4;396;403;9;14;94;103;34;43;;;;;;;;
21;Grêmio;Ceará;4;2;61%;39%;16;11;7;3;5;6;4;2;13;10;3;4;1;0;1;3;8;14;1;2;745;473;9;14;131;125;42;45;;;;;;;;
21;Goiás;Athletico-PR;0;1;47%;53%;10;16;1;8;7;4;2;4;12;17;8;10;3;0;7;1;14;12;5;1;337;382;13;13;99;75;45;59;;;;;;;;
21;Santos;Internacional;2;0;39%;61%;10;12;7;6;1;4;2;2;20;23;2;7;1;2;6;5;24;18;1;2;301;473;8;18;79;139;31;29;;;;;;;;
21;Sport;Vasco;0;2;63%;37%;13;14;3;4;5;5;5;5;23;17;4;2;2;1;2;3;14;21;0;2;562;329;15;18;141;93;72;50;;;;;;;;
18;Bahia;Fortaleza;2;1;33%;67%;13;8;6;1;5;4;2;3;10;14;4;7;1;2;0;4;14;11;3;2;255;518;16;13;71;130;30;50;;;;;;;;
20;Ceará;Sport;0;0;53%;47%;26;4;6;1;13;2;7;1;13;21;9;1;4;0;1;6;17;13;0;3;419;391;16;12;126;86;67;31;;;;;;;;
20;Fluminense;Grêmio;0;1;60%;40%;12;13;4;4;3;7;5;2;15;13;4;5;1;2;3;4;12;13;0;1;562;366;18;18;115;93;42;44;;;;;;;;
20;Atlético-MG;Flamengo;4;0;30%;70%;9;13;4;5;4;5;1;3;15;21;2;7;1;1;5;1;21;13;5;4;284;637;18;15;67;143;19;71;;;;;;;;
20;Bahia;Botafogo;1;0;58%;42%;20;10;5;3;7;5;8;2;16;20;4;4;1;1;3;4;19;17;2;3;496;360;15;10;116;107;57;43;;;;;;;;
20;Red Bull Bragantino;Santos;1;1;48%;52%;12;4;2;0;6;2;4;2;21;16;5;3;1;1;0;1;15;20;1;4;412;448;11;20;137;96;53;44;;;;;;;;
20;Internacional;Coritiba;2;2;60%;40%;12;10;4;3;3;5;5;2;15;9;9;3;0;2;1;2;9;13;2;3;521;363;16;25;138;72;68;35;1;0;;;;;;
20;Vasco;Palmeiras;0;1;45%;55%;9;8;3;3;5;2;1;3;20;16;0;4;0;1;2;3;17;19;1;3;374;467;18;12;101;143;31;45;;;;;;;;
20;Atlético-GO;Corinthians;1;1;44%;56%;15;6;5;2;6;3;4;1;27;22;7;3;2;2;1;4;22;25;3;4;311;422;16;11;36;46;26;24;;;;;;;;
20;São Paulo;Goiás;2;1;65%;35%;20;8;9;3;6;3;5;2;20;10;10;2;1;1;2;7;9;19;2;2;503;270;14;10;96;73;99;57;0;1;;;;;;
20;Athletico-PR;Fortaleza;2;1;63%;37%;21;11;6;5;7;4;8;2;15;21;10;3;3;4;4;4;20;14;2;1;483;297;5;12;48;44;28;15;;;;;;;;
19;Grêmio;Red Bull Bragantino;2;1;56%;44%;11;13;3;7;5;4;3;2;12;15;3;4;1;0;6;1;13;12;1;1;576;455;20;15;136;114;49;40;;;;;;;;
19;Palmeiras;Atlético-MG;3;0;36%;64%;19;16;8;2;9;9;2;5;12;10;3;9;2;0;2;5;10;12;2;1;299;543;12;11;74;127;38;75;;;;;;;;
19;Goiás;Vasco;1;1;46%;54%;19;7;10;1;4;2;5;4;25;18;2;6;2;6;0;9;16;19;5;6;354;399;11;17;99;109;44;54;;;;;;;;
19;Santos;Bahia;3;1;56%;44%;9;21;6;6;2;7;1;8;15;18;6;9;2;3;5;3;19;13;4;2;455;344;16;19;109;113;48;39;;;;;;;;
19;Flamengo;São Paulo;1;4;53%;47%;17;13;7;8;3;3;7;2;15;19;6;4;2;0;4;6;18;18;4;3;446;397;16;21;109;77;72;28;;;;;;;;
19;Sport;Athletico-PR;1;0;41%;59%;11;12;3;2;4;7;4;3;17;19;2;5;3;3;2;2;17;15;2;1;340;476;18;8;93;127;43;48;1;0;;;;;;
19;Fortaleza;Fluminense;0;1;44%;56%;4;11;1;4;2;4;1;3;19;14;3;7;0;1;3;1;14;18;2;1;386;475;16;17;81;129;27;56;1;0;;;;;;
19;Corinthians;Internacional;1;0;35%;65%;8;7;3;0;4;4;1;3;16;20;2;4;2;2;0;2;17;12;4;3;315;579;15;18;113;153;41;67;0;1;;;;;;
19;Coritiba;Atlético-GO;1;0;30%;70%;5;14;1;5;3;4;1;5;18;22;0;12;0;0;5;0;22;18;2;5;249;552;21;11;73;142;17;51;;;;;;;;
19;Botafogo;Ceará;2;2;61%;39%;12;10;7;4;4;5;1;1;17;18;4;2;1;0;2;5;17;19;5;6;490;316;15;18;125;104;56;32;1;1;;;;;;
18;Athletico-PR;Grêmio;1;2;65%;35%;5;8;1;2;4;6;0;0;11;15;4;2;1;1;0;0;15;11;3;1;547;289;17;18;116;81;38;34;;;;;;;;
18;Internacional;Flamengo;2;2;28%;72%;10;16;5;6;4;5;1;5;16;17;1;7;1;1;4;3;16;15;6;5;244;617;25;19;90;151;25;76;;;;;;;;
18;Atlético-GO;Palmeiras;0;3;56%;44%;20;12;5;4;9;6;6;2;17;17;6;3;0;2;1;5;15;17;1;4;470;361;12;21;120;90;58;29;;;;;;;;
18;Fluminense;Santos;3;1;48%;52%;19;9;8;2;5;3;6;4;21;15;10;8;2;3;1;5;13;18;5;4;275;297;10;24;89;87;26;27;;;;;;;;
18;Atlético-MG;Sport;0;0;76%;24%;26;3;9;0;11;3;6;0;12;12;13;4;2;1;0;9;10;11;1;0;696;226;6;18;181;71;119;21;;;;;;;;
18;Ceará;Coritiba;2;1;37%;63%;15;15;4;6;8;6;3;3;11;23;5;7;1;1;5;2;22;12;3;1;269;480;12;9;99;133;52;50;;;;;;;;
18;Red Bull Bragantino;Goiás;2;0;52%;48%;14;7;5;1;6;5;3;1;19;18;6;4;1;3;1;3;17;15;0;3;390;357;17;11;121;107;66;31;;;;;;;;
18;Vasco;Corinthians;1;2;64%;36%;17;11;8;3;6;3;3;5;20;12;9;6;1;2;1;7;12;18;1;2;547;306;16;18;140;103;65;41;;;;;;;;
17;Bahia;Atlético-MG;3;1;34%;66%;13;20;6;4;4;11;3;5;15;15;2;8;1;1;3;3;14;14;4;1;294;553;12;17;74;147;26;77;;;;;;;;
17;Botafogo;Goiás;0;0;62%;38%;23;12;6;4;7;6;10;2;11;21;11;5;3;0;4;6;18;11;2;1;532;324;20;17;166;90;94;27;;;;;;;;
17;Fortaleza;Palmeiras;2;0;51%;49%;10;15;4;3;5;6;1;6;18;13;1;7;0;2;3;2;14;19;2;4;464;421;13;14;124;114;28;46;0;1;;;;;;
17;Red Bull Bragantino;Sport;2;0;50%;50%;18;3;4;2;11;0;3;1;13;14;8;6;1;0;2;2;13;13;2;2;452;453;13;18;128;103;82;31;;;;;;;;
17;Internacional;Vasco;2;0;52%;48%;13;8;7;4;4;4;2;0;10;18;6;3;1;0;4;5;17;11;1;1;523;481;20;12;122;100;38;37;;;;;;;;
17;Corinthians;Flamengo;1;5;39%;61%;19;11;7;6;8;3;4;2;15;13;10;3;1;2;1;6;14;13;4;5;313;530;13;24;98;124;42;52;;;;;;;;
17;São Paulo;Grêmio;0;0;62%;38%;8;11;1;2;7;6;0;3;17;24;2;7;1;2;2;1;24;15;4;2;533;315;17;20;93;86;36;45;;;;;;;;
17;Atlético-GO;Athletico-PR;1;1;37%;63%;11;17;1;6;8;7;2;4;21;12;2;11;1;2;5;0;10;20;3;5;271;454;11;13;77;118;33;76;2;0;;;;;;
17;Coritiba;Santos;1;2;53%;47%;18;6;4;2;9;2;5;2;19;17;8;1;1;0;0;3;18;25;5;2;384;340;12;19;109;85;58;32;;;;;;;;
17;Fluminense;Ceará;2;2;58%;42%;6;17;3;4;2;7;1;6;17;18;4;3;2;2;2;1;16;17;3;3;529;379;19;21;115;106;30;46;;;;;;;;
16;Goiás;Bahia;1;1;53%;47%;10;13;4;3;4;6;2;4;20;17;5;2;1;3;2;3;16;18;5;4;402;348;17;9;130;97;36;51;0;1;;;;;;
16;Flamengo;Red Bull Bragantino;1;1;69%;31%;19;11;10;3;5;5;4;3;11;14;5;1;1;2;2;9;16;14;2;1;596;270;12;25;102;85;58;39;;;;;;;;
16;Athletico-PR;Corinthians;0;1;61%;39%;15;13;9;6;4;5;2;2;13;16;8;2;2;1;5;9;18;14;3;3;534;332;7;12;149;75;57;27;0;1;;;;;;
16;Atlético-MG;Fluminense;1;1;65%;35%;13;11;8;3;3;6;2;2;13;9;9;4;0;3;2;7;11;9;3;1;554;299;25;19;127;79;75;43;;;;;;;;
16;Sport;Internacional;3;5;49%;51%;13;14;5;8;6;5;2;1;21;7;2;7;1;3;3;2;6;19;3;2;437;445;9;18;93;98;31;43;;;;;;;;
16;Santos;Atlético-GO;0;1;59%;41%;12;8;3;1;5;5;4;2;26;19;7;2;1;2;0;3;18;21;3;3;400;288;14;15;102;93;41;30;;;;;;;;
16;Grêmio;Botafogo;3;1;50%;50%;10;16;4;3;5;11;1;2;13;12;1;4;1;0;2;1;11;13;3;2;481;460;7;18;102;108;42;46;1;0;;;;;;
16;Palmeiras;Coritiba;1;3;54%;46%;16;12;5;9;6;2;5;1;23;14;6;2;1;2;6;4;13;20;3;2;419;377;18;20;137;94;58;29;;;;;;;;
11;Flamengo;Goiás;2;1;67%;33%;31;7;12;4;13;2;6;1;16;14;9;4;1;4;3;10;12;12;1;4;559;287;18;17;155;74;107;21;;;;;;;;
15;Ceará;Corinthians;2;1;39%;61%;15;10;4;3;10;4;1;3;11;10;6;6;2;1;2;2;9;10;4;1;301;474;10;13;117;92;32;31;1;1;;;;;;
15;Internacional;Athletico-PR;2;1;46%;54%;13;14;6;4;2;6;5;4;16;22;6;1;3;2;3;4;19;14;2;0;408;480;29;17;108;137;35;28;;;;;;;;
15;Atlético-GO;Red Bull Bragantino;2;1;53%;47%;24;19;8;5;13;8;3;6;20;17;7;11;0;2;4;6;17;18;1;1;369;334;12;15;106;79;76;46;;;;;;;;
15;Sport;Botafogo;1;2;62%;38%;17;11;3;4;10;5;4;2;15;12;6;8;0;0;2;2;11;15;3;3;526;316;15;10;142;84;46;44;0;1;;;;;;
15;Fluminense;Bahia;1;0;50%;50%;8;12;2;1;5;7;1;4;19;25;3;4;0;0;1;1;26;18;2;3;399;397;18;14;112;113;44;38;;;;;;;;
15;Santos;Grêmio;2;1;56%;44%;11;11;6;4;4;5;1;2;15;22;4;7;3;2;3;4;16;14;2;4;399;300;20;19;95;99;50;44;0;1;;;;;;
15;Atlético-MG;Goiás;3;0;66%;34%;23;4;11;3;8;0;4;1;10;18;8;1;4;1;3;8;14;11;0;1;599;309;16;26;148;80;82;22;;;;;;;;
15;Coritiba;Fortaleza;0;0;45%;55%;10;12;2;2;7;6;1;4;12;20;2;4;1;0;2;2;19;12;1;0;399;498;9;8;92;107;29;39;;;;;;;;
15;Palmeiras;São Paulo;0;2;47%;53%;9;13;3;4;4;6;2;3;16;16;8;4;2;0;2;3;15;17;2;1;425;484;18;18;94;109;50;29;;;;;;;;
15;Vasco;Flamengo;1;2;38%;62%;13;8;4;3;6;2;3;3;25;15;5;5;3;2;1;3;14;25;2;5;349;573;15;14;90;150;41;61;;;;;;;;
14;Red Bull Bragantino;Internacional;0;2;48%;52%;12;8;2;5;3;2;7;1;23;20;7;2;2;1;3;2;18;22;3;3;399;451;15;17;118;94;54;26;1;0;;;;;;
14;Athletico-PR;Ceará;0;0;61%;39%;14;13;1;4;7;6;6;3;14;10;3;3;2;2;4;1;11;12;3;2;562;350;10;10;137;85;56;34;;;;;;;;
14;Botafogo;Palmeiras;2;1;36%;64%;11;20;4;4;2;11;5;5;17;15;2;5;0;2;3;2;16;15;4;4;298;531;14;11;84;112;19;58;;;;;;;;
14;Fortaleza;Atlético-MG;2;1;31%;69%;7;15;3;4;1;10;3;1;22;11;1;8;1;2;3;1;9;19;4;3;263;577;8;9;72;142;30;88;1;0;;;;;;
14;Goiás;Fluminense;2;4;42%;58%;12;10;3;5;7;3;2;2;16;19;5;4;0;4;1;1;19;15;3;2;338;470;10;12;97;92;43;29;;;;;;;;
