rodada;mandante;visitante;gols_man;gols_vis;Posse de bola_man;Posse de bola_vis;Tentativas de gol_man;Tentativas de gol_vis;Finalizações_man;Finalizações_vis;Chutes fora_man;Chutes fora_vis;Chutes bloqueados_man;Chutes bloqueados_vis;Faltas cobradas_man;Faltas cobradas_vis;Escanteios_man;Escanteios_vis;Impedimentos_man;Impedimentos_vis;Laterais cobrados_man;Laterais cobrados_vis;Defesas do goleiro_man;Defesas do goleiro_vis;Faltas_man;Faltas_vis;Cartões amarelos_man;Cartões amarelos_vis;Total de passes_man;Total de passes_vis;Passes completados_man;Passes completados_vis;Desarmes_man;Desarmes_vis;Ataques_man;Ataques_vis;Ataques Perigosos_man;Ataques Perigosos_vis;Cartões vermelhos_man;Cartões vermelhos_vis;Acerto de passes_man;Acerto de passes_vis
Final;Moreirense;Chaves;1;0;65%;35%;9;9;3;2;3;4;3;3;16;18;6;8;2;0;43;37;2;2;15;15;4;2;0;0;0;0;0;0;114;78;79;54;;;;
Final;Chaves;Moreirense;2;0;48%;52%;10;13;2;1;6;7;2;5;16;12;6;5;0;0;28;33;1;0;10;13;1;2;274;282;189;194;13;17;89;106;27;39;;;;
34;Vitória SC;Gil Vicente;5;0;50%;50%;15;8;8;4;6;3;1;1;15;16;1;3;2;0;14;15;4;3;13;16;1;0;463;511;406;434;18;11;81;106;34;43;;;;
34;Famalicao;Braga;3;2;51%;49%;21;11;11;6;9;3;1;2;12;11;6;4;2;0;20;29;4;8;8;11;3;3;422;457;347;371;26;20;112;100;40;49;1;1;;
34;Sporting;Santa Clara;4;0;63%;37%;23;10;9;1;6;4;8;5;18;12;10;5;1;5;20;23;1;5;11;12;1;2;578;279;497;189;17;25;90;43;39;15;;;;
34;FC Porto;Estoril;2;0;62%;38%;21;7;5;1;11;3;5;3;14;12;12;6;0;4;20;10;1;3;13;11;;;540;299;480;245;15;20;126;45;75;22;;;;
34;Maritimo;Portimonense;0;1;49%;51%;11;15;6;4;4;8;1;3;24;15;4;2;1;2;15;17;3;6;16;21;3;2;395;444;319;355;12;10;99;91;31;31;;;;
34;Arouca;BSAD;0;0;54%;46%;22;10;7;3;7;6;8;1;15;14;8;4;2;4;16;25;3;7;13;12;2;2;456;337;379;255;10;12;94;82;49;53;;;;
34;Moreirense;Vizela;4;1;62%;38%;12;6;6;2;3;2;3;2;10;14;4;7;1;4;20;36;1;2;16;10;3;3;358;269;295;201;11;11;68;80;33;21;0;1;;
34;Tondela;Boavista;2;2;48%;52%;11;14;8;5;3;4;0;5;17;12;4;5;1;2;25;17;3;6;13;16;1;3;379;504;278;418;19;17;95;104;41;26;;;;
34;Ferreira;Benfica;0;2;52%;48%;12;14;4;8;4;4;4;2;21;15;6;4;5;0;22;13;6;4;11;23;1;1;463;408;384;342;14;13;101;82;54;42;;;83;84
33;BSAD;Famalicao;2;3;47%;53%;14;14;5;4;6;5;3;5;25;20;7;5;2;4;18;19;1;3;17;21;3;1;345;395;266;315;11;11;99;80;26;39;;;;
33;Santa Clara;Ferreira;2;0;59%;41%;20;3;7;0;7;3;6;0;16;27;10;0;3;1;18;18;0;5;24;17;3;3;382;329;320;253;13;10;106;58;55;11;0;1;;
33;Braga;Arouca;1;0;61%;39%;12;15;2;4;7;9;3;2;7;15;4;8;2;2;21;20;4;1;13;8;0;1;613;336;523;241;12;11;138;85;54;36;;;;
33;Gil Vicente;Tondela;3;0;58%;42%;8;5;4;3;4;1;0;1;10;22;8;0;1;4;27;17;3;1;21;8;1;2;546;285;490;239;13;11;129;62;49;22;0;1;;
33;Vizela;Maritimo;1;1;43%;57%;11;10;3;3;5;3;3;4;8;16;2;8;1;1;19;18;2;2;16;8;4;2;326;458;265;392;16;10;79;86;28;36;;;;
33;Portimonense;Sporting;2;3;32%;68%;5;28;3;8;1;14;1;6;12;8;1;8;0;1;11;27;5;1;7;13;2;2;243;573;163;509;15;14;38;144;23;66;;;67;89
33;Benfica;FC Porto;0;1;58%;42%;9;10;2;5;4;2;3;3;18;25;5;3;4;1;22;18;4;2;23;15;10;4;527;313;420;215;12;10;101;99;43;31;;;80;69
33;Estoril;Moreirense;1;0;46%;54%;6;18;2;5;3;7;1;6;12;15;2;8;2;2;16;23;5;1;17;10;6;3;283;332;215;265;13;14;60;110;29;61;1;0;76;80
33;Boavista;Vitória SC;1;1;43%;57%;16;13;6;5;8;5;2;3;17;12;5;7;3;1;24;20;4;5;9;16;2;4;377;463;282;380;15;13;89;111;33;39;0;1;;
32;Ferreira;Tondela;1;1;69%;31%;19;8;5;3;11;5;3;0;10;14;7;0;1;3;21;20;2;4;14;12;1;6;564;290;493;218;12;18;158;66;68;16;0;1;;
32;Sporting;Gil Vicente;4;1;66%;34%;22;3;13;1;5;1;4;1;16;19;13;2;1;4;15;11;0;9;18;15;4;2;503;418;452;345;11;16;112;80;54;27;;;;
32;Moreirense;Boavista;1;2;57%;43%;14;8;2;2;5;3;7;3;17;10;5;3;1;0;34;25;0;1;8;17;4;5;474;370;364;268;16;22;143;78;68;32;1;3;;
32;Vitória SC;Santa Clara;1;1;42%;58%;7;3;1;1;4;2;2;0;15;19;4;3;0;5;18;21;0;0;21;11;3;5;389;449;291;359;17;18;88;98;41;41;;;;
32;BSAD;Braga;0;1;42%;58%;9;25;1;9;6;11;2;5;16;9;2;6;2;2;22;28;8;1;7;16;3;3;295;500;194;405;11;10;94;124;26;41;2;0;66;81
32;FC Porto;Vizela;4;2;65%;35%;17;3;8;2;5;1;4;0;7;12;8;2;0;1;26;20;0;4;12;7;1;1;557;265;473;190;16;15;129;72;69;21;;;85;72
32;Maritimo;Benfica;0;1;53%;47%;14;15;5;4;6;7;3;4;25;11;5;6;3;3;16;15;3;5;8;24;2;4;421;456;362;409;13;25;80;126;37;50;1;0;;
32;Arouca;Portimonense;1;0;51%;49%;15;7;6;4;7;2;2;1;14;12;5;7;1;2;16;23;4;5;12;15;1;2;370;336;288;264;12;18;90;80;51;38;;;78;79
32;Famalicao;Estoril;3;1;56%;44%;25;9;7;3;7;5;11;1;7;18;7;3;1;0;21;16;2;4;18;9;3;1;478;331;415;253;16;12;122;84;85;42;0;1;;
31;Boavista;Sporting;0;3;40%;60%;10;10;1;5;5;3;4;2;12;8;2;3;2;5;23;17;2;1;7;9;2;2;393;644;316;580;21;24;95;123;23;49;;;;
31;Braga;FC Porto;1;0;37%;63%;9;19;5;3;4;15;0;1;7;15;2;10;2;0;27;34;3;4;13;7;2;2;348;608;249;504;16;16;83;152;35;72;;;;
31;Tondela;Vitória SC;1;1;41%;59%;10;10;4;3;5;4;1;3;19;15;4;3;1;1;13;23;2;4;15;18;2;4;373;522;294;443;21;9;74;121;18;59;;;;
31;Estoril;BSAD;2;2;48%;52%;6;23;2;4;3;11;1;8;11;20;2;8;4;2;19;20;2;0;18;10;7;3;319;386;239;314;10;14;72;113;26;54;3;2;;
31;Gil Vicente;Ferreira;1;1;49%;51%;17;10;4;2;9;6;4;2;16;19;6;2;5;0;23;20;1;3;15;19;2;5;367;389;293;317;12;18;120;73;50;34;;;;
31;Benfica;Famalicao;0;0;70%;30%;25;4;5;0;12;2;8;2;11;18;8;5;0;1;37;14;0;5;18;10;3;4;727;309;636;223;17;29;194;78;109;27;;;;
31;Santa Clara;Maritimo;2;2;41%;59%;10;10;3;3;6;3;1;4;16;23;3;10;1;2;26;24;1;1;23;14;2;3;315;444;226;355;16;13;85;103;27;46;;;;
31;Portimonense;Moreirense;1;0;52%;48%;19;15;7;7;10;4;2;4;19;17;6;6;4;0;33;29;7;6;14;19;2;5;356;330;238;221;18;17;84;114;43;40;;;67;67
31;Vizela;Arouca;2;1;44%;56%;16;14;6;5;6;6;4;3;8;16;6;2;2;0;20;27;4;4;19;9;4;1;362;444;260;341;17;6;94;99;59;52;;;;
30;Estoril;Braga;0;0;40%;60%;15;13;6;2;7;8;2;3;10;5;7;5;0;1;14;24;2;6;5;9;1;0;368;651;279;559;10;11;93;126;38;47;;;;
30;Sporting;Benfica;0;2;62%;38%;16;10;4;4;9;6;3;0;15;8;7;5;0;4;20;17;2;4;9;13;2;4;538;342;478;273;18;11;134;58;74;31;;;;
30;FC Porto;Portimonense;7;0;69%;31%;26;3;12;2;8;0;6;1;8;11;9;1;1;2;24;24;2;5;10;7;0;2;625;239;556;172;17;15;148;45;86;9;;;89;72
30;BSAD;Vizela;1;0;39%;61%;6;15;3;3;1;7;2;5;14;17;2;7;2;2;27;35;3;2;15;14;2;2;298;466;202;358;12;12;82;122;31;61;;;;
30;Maritimo;Boavista;4;0;55%;45%;8;4;5;0;2;3;1;1;23;17;1;1;2;2;15;25;0;1;17;21;4;5;439;432;364;358;21;10;87;133;23;18;0;1;83;83
30;Moreirense;Tondela;2;0;42%;58%;12;3;3;1;7;0;2;2;17;19;4;1;1;2;38;23;1;1;18;15;6;5;308;496;227;400;11;13;104;101;53;22;;;;
30;Vitória SC;Ferreira;4;0;41%;59%;18;7;8;0;6;7;4;0;10;18;2;4;5;1;17;22;0;4;14;15;0;5;302;524;256;461;10;10;74;88;32;34;0;1;;
30;Famalicao;Gil Vicente;2;2;44%;56%;10;16;3;5;5;7;2;4;17;15;3;7;2;2;19;32;3;1;16;14;6;4;303;506;224;409;17;5;93;120;29;38;;;;
30;Arouca;Santa Clara;1;1;45%;55%;17;9;7;2;5;3;5;4;14;18;7;7;2;2;25;19;1;6;17;14;3;4;357;416;270;328;8;9;95;86;43;34;;;;
29;Vizela;Braga;0;1;49%;51%;14;10;2;3;7;5;5;2;;;2;8;2;2;;;2;2;12;11;3;4;435;479;326;365;15;10;115;115;49;48;0;1;;
29;Vitória SC;FC Porto;0;1;47%;53%;4;13;1;4;3;8;0;1;;;3;1;2;1;;;3;1;15;20;6;2;341;433;247;337;10;11;100;108;31;32;1;0;;
29;Portimonense;Famalicao;1;0;57%;43%;15;7;6;2;5;4;4;1;;;7;2;2;0;;;2;5;15;15;7;4;397;358;296;255;14;21;102;91;50;49;1;0;;
29;Santa Clara;Estoril;2;0;42%;58%;7;14;4;4;3;6;0;4;;;5;1;0;3;;;4;2;19;17;2;1;360;472;276;389;13;15;90;110;21;40;;;;
29;Tondela;Sporting;1;3;29%;71%;3;17;2;9;1;7;0;1;;;1;9;0;0;;;6;1;14;13;3;2;282;712;203;649;15;11;56;151;14;57;;;;
29;Benfica;BSAD;3;1;59%;41%;27;8;8;2;12;4;7;2;;;11;6;0;0;;;1;5;18;18;1;7;564;339;495;274;19;12;124;78;62;34;;;;
29;Boavista;Arouca;1;0;47%;53%;14;16;5;1;7;10;2;5;;;3;3;4;0;;;1;4;17;12;4;4;419;421;310;319;12;20;91;137;37;53;;;;
29;Ferreira;Maritimo;2;0;50%;50%;14;15;6;4;7;7;1;4;;;5;2;0;5;;;4;4;17;20;0;1;455;454;367;386;21;16;73;133;27;51;;;;
29;Gil Vicente;Moreirense;1;2;64%;36%;23;14;5;7;12;5;6;2;;;11;3;4;4;;;5;4;12;14;1;4;543;220;453;148;11;15;123;69;70;45;0;1;;
28;FC Porto;Santa Clara;3;0;65%;35%;16;5;6;1;5;2;5;2;;;7;3;3;1;;;1;3;12;11;;;583;255;521;183;13;18;124;51;43;27;;;;
28;Sporting;Ferreira;2;0;54%;46%;17;3;6;0;7;0;4;3;;;5;2;4;2;;;0;4;19;14;2;4;516;479;440;384;11;21;124;86;41;24;;;;
28;Moreirense;Vitória SC;0;1;48%;52%;11;16;3;4;5;8;3;4;;;5;3;1;1;;;3;3;20;10;2;5;340;374;227;265;19;12;109;104;43;35;;;;
28;Maritimo;Tondela;1;3;61%;39%;9;14;3;6;2;4;4;4;;;9;4;0;1;;;3;2;9;15;3;2;483;356;423;284;17;36;133;66;65;25;;;;
28;Famalicao;Boavista;1;2;58%;42%;13;9;6;3;5;3;2;3;;;11;1;2;1;;;1;5;7;13;3;4;490;316;411;221;16;22;125;93;74;30;0;1;;
28;Arouca;Gil Vicente;2;1;34%;66%;6;13;2;5;4;6;0;2;;;2;12;4;4;;;4;0;14;12;2;4;240;549;169;451;15;15;72;132;17;60;1;1;;
28;Estoril;Vizela;1;2;68%;32%;11;7;3;4;6;3;2;0;;;7;2;2;1;;;2;2;12;14;2;2;559;278;488;192;8;14;135;67;78;34;;;;
28;BSAD;Portimonense;2;0;44%;56%;10;19;6;4;3;9;1;6;;;1;8;0;3;;;4;4;25;15;5;3;328;412;248;333;14;7;75;131;18;70;0;1;;
28;Braga;Benfica;3;2;38%;62%;12;11;5;4;5;5;2;2;;;2;9;1;3;;;2;2;15;7;2;1;359;606;280;521;20;18;86;115;47;55;;;;
27;Boavista;FC Porto;0;1;49%;51%;9;10;1;4;5;4;3;2;;;3;5;3;1;;;3;1;18;16;2;2;383;469;286;369;21;15;88;136;30;53;;;;
27;Portimonense;Braga;1;2;55%;45%;13;17;7;6;2;8;4;3;;;7;9;2;0;;;4;6;10;16;1;1;500;401;415;300;6;12;110;116;40;50;;;;
27;Benfica;Estoril;2;1;49%;51%;18;16;6;3;9;7;3;6;;;7;4;0;4;;;2;4;13;12;1;2;474;440;423;384;10;14;96;83;41;28;;;;
27;Ferreira;Moreirense;2;1;55%;45%;10;16;6;5;2;9;2;2;;;7;3;3;1;;;4;4;18;21;2;4;380;389;308;305;20;13;96;95;37;38;;;;
27;Gil Vicente;Maritimo;1;1;49%;51%;15;12;8;3;3;5;4;4;;;8;6;2;6;;;2;7;16;10;3;3;467;373;380;300;16;9;110;83;64;42;;;;
27;Vitória SC;Sporting;1;3;47%;53%;12;15;4;6;3;4;5;5;;;2;3;3;1;;;3;3;15;7;4;2;334;511;258;434;12;24;93;101;61;41;;;;
27;Santa Clara;BSAD;0;0;57%;43%;10;7;3;1;6;3;1;3;;;7;8;3;1;;;1;3;16;20;3;5;477;333;376;239;17;11;116;99;49;51;;;;
27;Tondela;Arouca;2;2;49%;51%;6;13;4;5;2;4;0;4;;;4;3;2;2;;;3;2;13;16;1;3;433;373;337;290;10;16;96;100;32;36;;;;
27;Vizela;Famalicao;1;1;58%;42%;22;11;7;4;7;4;8;3;;;7;4;0;1;;;3;6;11;14;0;4;484;423;382;322;21;16;120;107;70;35;0;1;;
26;Moreirense;Sporting;0;2;35%;65%;12;14;3;4;6;5;3;5;;;3;7;1;3;;;2;3;20;16;4;4;293;592;208;508;10;21;106;119;26;32;;;;
26;Braga;Gil Vicente;0;1;51%;49%;12;12;4;2;4;5;4;5;;;7;2;6;1;;;1;4;16;9;3;3;520;504;430;398;11;7;128;97;68;23;;;;
26;FC Porto;Tondela;4;0;65%;35%;17;9;9;2;7;5;1;2;;;5;4;2;1;;;2;5;21;16;1;3;587;273;511;195;15;18;132;84;54;27;0;1;;
26;Maritimo;Vitória SC;0;1;59%;41%;7;22;4;6;2;11;1;5;;;3;3;1;2;;;5;4;14;23;2;3;491;386;405;306;19;21;107;127;31;46;;;;
26;BSAD;Boavista;0;0;53%;47%;9;15;2;1;5;10;2;4;;;3;4;2;2;;;1;2;17;20;4;3;374;348;272;255;8;11;97;106;30;40;;;;
26;Arouca;Ferreira;0;1;59%;41%;14;11;4;4;6;3;4;4;;;6;9;1;4;;;3;4;16;14;4;5;504;337;417;252;12;8;125;77;58;21;;;;
26;Estoril;Portimonense;2;0;45%;55%;14;17;6;4;4;8;4;5;;;6;10;1;3;;;4;4;14;11;3;3;363;458;294;370;7;18;104;113;37;49;;;;
26;Famalicao;Santa Clara;0;0;51%;49%;7;10;3;4;4;6;0;0;;;6;5;3;3;;;4;3;13;19;1;4;432;355;349;269;12;18;111;92;48;34;;;;
26;Benfica;Vizela;1;1;56%;44%;22;20;9;4;10;4;3;12;;;9;8;2;3;;;3;8;8;18;2;6;496;454;431;391;17;14;117;91;61;56;1;0;;
25;Tondela;BSAD;1;1;51%;49%;7;9;2;3;4;3;1;3;;;4;5;1;3;;;2;1;18;16;4;3;460;377;;;18;18;124;94;44;55;;;;
25;Santa Clara;Vizela;3;1;59%;41%;14;6;4;2;7;3;3;1;;;6;1;1;2;;;1;2;16;15;0;2;508;366;;;10;9;131;75;43;30;;;;
25;Vitória SC;Famalicao;2;1;51%;49%;14;9;5;4;4;4;5;1;;;7;2;2;3;;;3;3;18;15;5;2;397;383;;;19;21;131;67;70;12;;;;
25;Ferreira;FC Porto;2;4;39%;61%;6;12;4;9;2;3;0;0;;;1;7;2;1;;;5;2;4;19;0;2;405;566;;;16;18;72;111;26;58;;;;
25;Moreirense;Maritimo;0;1;54%;46%;18;12;5;2;5;8;8;2;;;8;4;0;0;;;1;5;14;15;2;4;467;376;;;16;20;135;90;56;37;;;;
25;Sporting;Arouca;2;0;62%;38%;15;5;6;2;7;2;2;1;;;5;1;9;3;;;2;4;13;14;2;4;607;357;;;21;12;136;96;51;29;;;;
25;Portimonense;Benfica;1;2;46%;54%;6;16;1;4;4;5;1;7;;;2;8;0;0;;;2;0;18;15;5;3;367;510;;;19;17;76;141;34;70;1;0;;
25;Boavista;Braga;1;1;51%;49%;10;8;5;5;4;1;1;2;;;4;1;3;4;;;4;4;14;17;5;3;431;419;;;23;15;98;108;35;43;;;;
25;Gil Vicente;Estoril;0;0;61%;39%;14;10;3;1;6;7;5;2;;;6;2;1;1;;;1;3;12;21;2;1;628;334;;;15;16;143;63;80;25;;;;
